Lugar;Espacialidade;"COD IBGE";"IDHM (2010)"
"Lavandeira (TO)";Município;171215;0,660
"Muritiba (BA)";Município;292230;0,660
"Palmas (PR)";Município;411760;0,660
"São Francisco de Paula (MG)";Município;316120;0,660
"São José do Vale do Rio Preto (RJ)";Município;330515;0,660
"São Pedro da Cipa (MT)";Município;510740;0,660
"São Sebastião da Vargem Alegre (MG)";Município;316443;0,660
"Satuba (AL)";Município;270890;0,660
"Seritinga (MG)";Município;316640;0,660
"Carnaúba dos Dantas (RN)";Município;240240;0,659
"Couto de Magalhães de Minas (MG)";Município;312010;0,659
"Duas Barras (RJ)";Município;330160;0,659
"Estreito (MA)";Município;210405;0,659
"Fortaleza do Tabocão (TO)";Município;170825;0,659
"Gameleira de Goiás (GO)";Município;520815;0,659
"Jaguarari (BA)";Município;291770;0,659
"Japeri (RJ)";Município;330227;0,659
"Leopoldo de Bulhões (GO)";Município;521230;0,659
"Maranguape (CE)";Município;230770;0,659
"Monte Azul (MG)";Município;314290;0,659
"Pacajus (CE)";Município;230960;0,659
"Passos Maia (SC)";Município;421227;0,659
"Posse (GO)";Município;521830;0,659
"Quixadá (CE)";Município;231130;0,659
"Sandolândia (TO)";Município;171884;0,659
"Santa Isabel do Pará (PA)";Município;150650;0,659
"São Pedro dos Ferros (MG)";Município;316400;0,659
"Segredo (RS)";Município;432026;0,659
"Timbó Grande (SC)";Município;421825;0,659
"Tucumã (PA)";Município;150808;0,659
"Varre-Sai (RJ)";Município;330615;0,659
"Bueno Brandão (MG)";Município;310910;0,658
"Caseara (TO)";Município;170390;0,658
"Castanheiras (RO)";Município;110090;0,658
"Colinas do Sul (GO)";Município;520552;0,658
"Grandes Rios (PR)";Município;410870;0,658
"Horizonte (CE)";Município;230523;0,658
"Inhapim (MG)";Município;313090;0,658
"Jaboticaba (RS)";Município;431085;0,658
"Januária (MG)";Município;313520;0,658
"Jesuânia (MG)";Município;313590;0,658
"Minduri (MG)";Município;314190;0,658
"Nova Cantu (PR)";Município;411680;0,658
"Novo Planalto (GO)";Município;521525;0,658
"Oiapoque (AP)";Município;160050;0,658
"Parintins (AM)";Município;130340;0,658
"Piratini (RS)";Município;431460;0,658
"São José do Divino (MG)";Município;316330;0,658
"Terenos (MS)";Município;500800;0,658
"Afogados da Ingazeira (PE)";Município;260010;0,657
"Aguiarnópolis (TO)";Município;170030;0,657
"Arroio Grande (RS)";Município;430130;0,657
"Cocalzinho de Goiás (GO)";Município;520551;0,657
"Divinésia (MG)";Município;312190;0,657
"Encruzilhada do Sul (RS)";Município;430690;0,657
"Entre Rios (SC)";Município;420517;0,657
"Guajará-Mirim (RO)";Município;110010;0,657
"Heliodora (MG)";Município;312920;0,657
"Ibertioga (MG)";Município;312940;0,657
"Itacurubi (RS)";Município;431055;0,657
"Mantenópolis (ES)";Município;320330;0,657
"Marliéria (MG)";Município;314030;0,657
"Matos Costa (SC)";Município;421070;0,657
"Presidente Kennedy (ES)";Município;320430;0,657
"Redenção da Serra (SP)";Município;354230;0,657
"Santo Hipólito (MG)";Município;316060;0,657
"São José do Mantimento (MG)";Município;316360;0,657
"São José do Xingu (MT)";Município;510735;0,657
"São Sebastião do Passé (BA)";Município;292950;0,657
"Tianguá (CE)";Município;231340;0,657
"Tunas (RS)";Município;432215;0,657
"Antônio Olinto (PR)";Município;410130;0,656
"Arinos (MG)";Município;310450;0,656
"Augusto de Lima (MG)";Município;310480;0,656
"Brasília de Minas (MG)";Município;310860;0,656
"Brejetuba (ES)";Município;320115;0,656
"Brumado (BA)";Município;290460;0,656
"Campo Maior (PI)";Município;220220;0,656
"Cordisburgo (MG)";Município;311890;0,656
"Curiúva (PR)";Município;410700;0,656
"Ferreira Gomes (AP)";Município;160023;0,656
"Itaiçaba (CE)";Município;230620;0,656
"Itaúna do Sul (PR)";Município;411130;0,656
"Laranja da Terra (ES)";Município;320316;0,656
"Mata (RS)";Município;431210;0,656
"Mesquita (MG)";Município;314170;0,656
"Pescador (MG)";Município;315000;0,656
"Planalto da Serra (MT)";Município;510645;0,656
"Rio dos Índios (RS)";Município;431555;0,656
"Santo Antônio do Leverger (MT)";Município;510780;0,656
"Serro (MG)";Município;316710;0,656
"Tavares (RS)";Município;432135;0,656
"Vale de São Domingos (MT)";Município;510835;0,656
"Aracati (CE)";Município;230110;0,655
"Baliza (GO)";Município;520310;0,655
"Belo Vale (MG)";Município;310640;0,655
"Boa Ventura de São Roque (PR)";Município;410304;0,655
"Capanema (PA)";Município;150220;0,655
"Carmo da Cachoeira (MG)";Município;311390;0,655
"Chalé (MG)";Município;311600;0,655
"Engenheiro Navarro (MG)";Município;312380;0,655
"Funilândia (MG)";Município;312720;0,655
"Lamim (MG)";Município;313790;0,655
"Mandirituba (PR)";Município;411430;0,655
"Manoel Viana (RS)";Município;431175;0,655
"Natividade da Serra (SP)";Município;353230;0,655
"Nova Iguaçu de Goiás (GO)";Município;521487;0,655
"Pedra Dourada (MG)";Município;314900;0,655
"Raul Soares (MG)";Município;315400;0,655
"Santo Antônio do Leste (MT)";Município;510779;0,655
"São João da Baliza (RR)";Município;140050;0,655
"São João do Sabugi (RN)";Município;241210;0,655
"Sapopema (PR)";Município;412620;0,655
"Tesouro (MT)";Município;510810;0,655
"Vitória das Missões (RS)";Município;432375;0,655
"Abre Campo (MG)";Município;310030;0,654
"Campos Verdes (GO)";Município;520495;0,654
"Capão Alto (SC)";Município;420325;0,654
"Cruzeta (RN)";Município;240300;0,654
"Damianópolis (GO)";Município;520670;0,654
"Dezesseis de Novembro (RS)";Município;430635;0,654
"Dores do Rio Preto (ES)";Município;320200;0,654
"Francisco Sá (MG)";Município;312670;0,654
"Galiléia (MG)";Município;312730;0,654
"Iapu (MG)";Município;312930;0,654
"Itapemirim (ES)";Município;320280;0,654
"Itapiranga (AM)";Município;130200;0,654
"Itaporã (MS)";Município;500450;0,654
"Nova Viçosa (BA)";Município;292300;0,654
"Pedro Canário (ES)";Município;320405;0,654
"Pinhão (PR)";Município;411930;0,654
"Portelândia (GO)";Município;521810;0,654
"Rafael Godeiro (RN)";Município;241060;0,654
"Saltinho (SC)";Município;421535;0,654
"Santa Cruz Cabrália (BA)";Município;292770;0,654
"São João do Jaguaribe (CE)";Município;231250;0,654
"Sem-Peixe (MG)";Município;316556;0,654
"Silva Jardim (RJ)";Município;330560;0,654
"Talismã (TO)";Município;172097;0,654
"Tanguá (RJ)";Município;330575;0,654
"Bom Repouso (MG)";Município;310790;0,653
"Campestre de Goiás (GO)";Município;520460;0,653
"Capelinha (MG)";Município;311230;0,653
"Divinópolis de Goiás (GO)";Município;520830;0,653
"Epitaciolândia (AC)";Município;120025;0,653
"Ilha de Itamaracá (PE)";Município;260760;0,653
"Itabirinha (MG)";Município;313180;0,653
"Novo Santo Antônio (MT)";Município;510631;0,653
"Presidente Dutra (MA)";Município;210910;0,653
"Rio Rufino (SC)";Município;421505;0,653
"Ritápolis (MG)";Município;315610;0,653
"Santa Amélia (PR)";Município;412310;0,653
"São João da Mata (MG)";Município;316230;0,653
"São Lourenço da Mata (PE)";Município;261370;0,653
"Trombas (GO)";Município;522145;0,653
"Água Doce do Norte (ES)";Município;320016;0,652
"Campestre do Maranhão (MA)";Município;210255;0,652
"Caraá (RS)";Município;430471;0,652
"Casa Grande (MG)";Município;311490;0,652
"Chupinguaia (RO)";Município;110092;0,652
"General Carneiro (PR)";Município;410850;0,652
"Guarará (MG)";Município;312850;0,652
"Guarinos (GO)";Município;520945;0,652
"Ibarama (RS)";Município;430975;0,652
"Ipiranga (PR)";Município;411050;0,652
"Iracema (CE)";Município;230600;0,652
"Jijoca de Jericoacoara (CE)";Município;230725;0,652
"Mauá da Serra (PR)";Município;411575;0,652
"Moreno (PE)";Município;260940;0,652
"Poconé (MT)";Município;510650;0,652
"Porto Esperidião (MT)";Município;510682;0,652
"São José de Ubá (RJ)";Município;330513;0,652
"São Martinho da Serra (RS)";Município;431912;0,652
"Sério (RS)";Município;432045;0,652
"Silveirânia (MG)";Município;316730;0,652
"Alto Boa Vista (MT)";Município;510035;0,651
"Aparecida do Rio Negro (TO)";Município;170110;0,651
"Arraias (TO)";Município;170240;0,651
"Bacabal (MA)";Município;210120;0,651
"Crucilândia (MG)";Município;312060;0,651
"Goiana (PE)";Município;260620;0,651
"Igaratinga (MG)";Município;313020;0,651
"Ivaí (PR)";Município;411140;0,651
"Jati (CE)";Município;230720;0,651
"Nova Brasilândia (MT)";Município;510620;0,651
"Nova Campina (SP)";Município;353282;0,651
"Nova Tebas (PR)";Município;411727;0,651
"Padre Bernardo (GO)";Município;521560;0,651
"Periquito (MG)";Município;314995;0,651
"Porteirinha (MG)";Município;315220;0,651
"Rochedo (MS)";Município;500750;0,651
"Santana do Deserto (MG)";Município;315860;0,651
"Santa Rita do Tocantins (TO)";Município;171889;0,651
"São Francisco de Goiás (GO)";Município;521990;0,651
"São Geraldo (MG)";Município;316150;0,651
"São José das Missões (RS)";Município;431845;0,651
"Serra dos Aimorés (MG)";Município;316670;0,651
"Taquaraçu de Minas (MG)";Município;316830;0,651
"Taquarussu (MS)";Município;500797;0,651
"Virgínia (MG)";Município;317170;0,651
"Barros Cassal (RS)";Município;430200;0,650
"Cabixi (RO)";Município;110003;0,650
"Cana Verde (MG)";Município;311190;0,650
"Canguçu (RS)";Município;430450;0,650
"Carmésia (MG)";Município;311380;0,650
"Faina (GO)";Município;520753;0,650
"Gameleiras (MG)";Município;312733;0,650
"Guadalupe (PI)";Município;220450;0,650
"Itanhomi (MG)";Município;313320;0,650
"Itaporã do Tocantins (TO)";Município;171110;0,650
"Marmelópolis (MG)";Município;314040;0,650
"Monjolos (MG)";Município;314250;0,650
"Monte Alegre dos Campos (RS)";Município;431237;0,650
"Nova Bandeirantes (MT)";Município;510615;0,650
"Pacaraima (RR)";Município;140045;0,650
"Pinhal da Serra (RS)";Município;431446;0,650
"Pium (TO)";Município;171750;0,650
"Rio Casca (MG)";Município;315490;0,650
"Rosário Oeste (MT)";Município;510770;0,650
"São João do Manhuaçu (MG)";Município;316255;0,650
"Ventania (PR)";Município;412853;0,650
"Alagoa (MG)";Município;310130;0,649
"Arapiraca (AL)";Município;270030;0,649
"Barão de Monte Alto (MG)";Município;310550;0,649
"Barra dos Coqueiros (SE)";Município;280060;0,649
"Bayeux (PB)";Município;250180;0,649
"Boa Vista (PB)";Município;250215;0,649
"Canaã (MG)";Município;311170;0,649
"Candeias do Jamari (RO)";Município;110080;0,649
"Cerrito (RS)";Município;430512;0,649
"Jacobina (BA)";Município;291750;0,649
"Jesúpolis (GO)";Município;521205;0,649
"Lebon Régis (SC)";Município;420970;0,649
"Mampituba (RS)";Município;431173;0,649
"Novo Horizonte do Sul (MS)";Município;500625;0,649
"Novo São Joaquim (MT)";Município;510628;0,649
"Peixoto de Azevedo (MT)";Município;510642;0,649
"São Felipe D'Oeste (RO)";Município;110148;0,649
"São Luiz (RR)";Município;140060;0,649
"Timon (MA)";Município;211220;0,649
"Unistalda (RS)";Município;432237;0,649
"Angico (TO)";Município;170105;0,648
"Cabeceira Grande (MG)";Município;310945;0,648
"Capela Nova (MG)";Município;311220;0,648
"Cardoso Moreira (RJ)";Município;330115;0,648
"Carlos Chagas (MG)";Município;311370;0,648
"Dilermando de Aguiar (RS)";Município;430637;0,648
"Felixlândia (MG)";Município;312570;0,648
"Frei Inocêncio (MG)";Município;312690;0,648
"Morro da Garça (MG)";Município;314360;0,648
"Passa-Vinte (MG)";Município;314780;0,648
"Reserva do Iguaçu (PR)";Município;412175;0,648
"Rio Manso (MG)";Município;315530;0,648
"Santa Cruz do Capibaribe (PE)";Município;261250;0,648
"Santa Maria de Itabira (MG)";Município;315800;0,648
"São João do Oriente (MG)";Município;316260;0,648
"Ubajara (CE)";Município;231360;0,648
"Bocaina do Sul (SC)";Município;420243;0,647
"Brejo Santo (CE)";Município;230250;0,647
"Cachoeira (BA)";Município;290490;0,647
"Caracol (MS)";Município;500280;0,647
"Estância (SE)";Município;280210;0,647
"Goiabeira (MG)";Município;312737;0,647
"Ibatiba (ES)";Município;320245;0,647
"Munhoz (MG)";Município;314380;0,647
"Presidente Figueiredo (AM)";Município;130353;0,647
"Salinópolis (PA)";Município;150620;0,647
"Santana do Jacaré (MG)";Município;315880;0,647
"Santana dos Montes (MG)";Município;315910;0,647
"Valença do Piauí (PI)";Município;221130;0,647
"Vila Boa (GO)";Município;522220;0,647
"Alpercata (MG)";Município;310180;0,646
"Cacaulândia (RO)";Município;110060;0,646
"Carvalhos (MG)";Município;311480;0,646
"Cascavel (CE)";Município;230350;0,646
"Fernandes Tourinho (MG)";Município;312580;0,646
"Itamarandiba (MG)";Município;313250;0,646
"Lontra (MG)";Município;313865;0,646
"Lucrécia (RN)";Município;240690;0,646
"Penaforte (CE)";Município;231060;0,646
"Piracema (MG)";Município;315060;0,646
"Santo Amaro (BA)";Município;292860;0,646
"São Miguel do Guaporé (RO)";Município;110032;0,646
"São Sebastião do Alto (RJ)";Município;330530;0,646
"Vale Verde (RS)";Município;432252;0,646
"Xinguara (PA)";Município;150840;0,646
"Águas Formosas (MG)";Município;310090;0,645
"Antônio Dias (MG)";Município;310300;0,645
"Bocaina de Minas (MG)";Município;310720;0,645
"Durandé (MG)";Município;312352;0,645
"Fernandes Pinheiro (PR)";Município;410773;0,645
"Foz do Jordão (PR)";Município;410845;0,645
"General Maynard (SE)";Município;280250;0,645
"Jatobá (PE)";Município;260805;0,645
"Manfrinópolis (PR)";Município;411435;0,645
"Muniz Freire (ES)";Município;320370;0,645
"Ouro Branco (RN)";Município;240850;0,645
"Paragominas (PA)";Município;150550;0,645
"Porto Alegre do Tocantins (TO)";Município;171800;0,645
"São João do Piauí (PI)";Município;221000;0,645
"São Nicolau (RS)";Município;431920;0,645
"Simolândia (GO)";Município;522068;0,645
"Tabuleiro do Norte (CE)";Município;231310;0,645
"Taparuba (MG)";Município;316805;0,645
"Tibau do Sul (RN)";Município;241420;0,645
"Vera Cruz (BA)";Município;293320;0,645
"Vila Bela da Santíssima Trindade (MT)";Município;510550;0,645
"Crateús (CE)";Município;230410;0,644
"Cristal (RS)";Município;430605;0,644
"Crixás do Tocantins (TO)";Município;170625;0,644
"Diamante D'Oeste (PR)";Município;410715;0,644
"Engenheiro Caldas (MG)";Município;312370;0,644
"Forquilha (CE)";Município;230435;0,644
"Iaciara (GO)";Município;520990;0,644
"Itacoatiara (AM)";Município;130190;0,644
"Messias Targino (RN)";Município;240760;0,644
"Mutum (MG)";Município;314400;0,644
"São Miguel do Anta (MG)";Município;316380;0,644
"Senador Firmino (MG)";Município;316570;0,644
"Alvorada D'Oeste (RO)";Município;110034;0,643
"Antônio João (MS)";Município;500090;0,643
"Argirita (MG)";Município;310440;0,643
"Calçoene (AP)";Município;160020;0,643
"Carmópolis (SE)";Município;280150;0,643
"Governador Mangabeira (BA)";Município;291160;0,643
"Hulha Negra (RS)";Município;430965;0,643
"Jequitaí (MG)";Município;313560;0,643
"Lagoão (RS)";Município;431125;0,643
"Mirante da Serra (RO)";Município;110130;0,643
"Monte Carlo (SC)";Município;421105;0,643
"Nazaré (TO)";Município;171430;0,643
"Nova Brasilândia D'Oeste (RO)";Município;110014;0,643
"Nova Crixás (GO)";Município;521483;0,643
"Palmeiras (BA)";Município;292350;0,643
"Rio Crespo (RO)";Município;110026;0,643
"Rio Largo (AL)";Município;270770;0,643
"São Valério (TO)";Município;172049;0,643
"Serranos (MG)";Município;316700;0,643
"Teixeirópolis (RO)";Município;110155;0,643
"Almeirim (PA)";Município;150050;0,642
"Almenara (MG)";Município;310170;0,642
"Amapá (AP)";Município;160010;0,642
"Babaçulândia (TO)";Município;170300;0,642
"Barrolândia (TO)";Município;170310;0,642
"Belém do São Francisco (PE)";Município;260160;0,642
"Coração de Jesus (MG)";Município;311880;0,642
"Corrente (PI)";Município;220290;0,642
"Florânia (RN)";Município;240380;0,642
"Itabaiana (SE)";Município;280290;0,642
"Laranjeiras (SE)";Município;280360;0,642
"Malta (PB)";Município;250880;0,642
"Manga (MG)";Município;313930;0,642
"Marechal Deodoro (AL)";Município;270470;0,642
"Nova Laranjeiras (PR)";Município;411705;0,642
"Passabém (MG)";Município;314750;0,642
"Quixeramobim (CE)";Município;231140;0,642
"Santana do Seridó (RN)";Município;241142;0,642
"Santa Rita do Pardo (MS)";Município;500755;0,642
"São Valério do Sul (RS)";Município;431973;0,642
"São Vicente (RN)";Município;241300;0,642
"Alta Floresta D'Oeste (RO)";Município;110001;0,641
"Amparo do Serra (MG)";Município;310250;0,641
"Aquiraz (CE)";Município;230100;0,641
"Axixá (MA)";Município;210110;0,641
"Barra do Turvo (SP)";Município;350540;0,641
"Campo Belo do Sul (SC)";Município;420340;0,641
"Coxixola (PB)";Município;250485;0,641
"Frei Martinho (PB)";Município;250620;0,641
"Goioxim (PR)";Município;410865;0,641
"Itacarambi (MG)";Município;313210;0,641
"João Lisboa (MA)";Município;210550;0,641
"Nazaré (BA)";Município;292250;0,641
"Nova Porteirinha (MG)";Município;314505;0,641
"Primavera de Rondônia (RO)";Município;110147;0,641
"São Mamede (PB)";Município;251490;0,641
"Taquaritinga do Norte (PE)";Município;261500;0,641
"Bocaiúva do Sul (PR)";Município;410310;0,640
"Carmolândia (TO)";Município;170388;0,640
"Catolé do Rocha (PB)";Município;250430;0,640
"Conceição do Araguaia (PA)";Município;150270;0,640
"Formoso (MG)";Município;312620;0,640
"Itaituba (PA)";Município;150360;0,640
"Itapipoca (CE)";Município;230640;0,640
"Macaíba (RN)";Município;240710;0,640
"Machacalis (MG)";Município;313890;0,640
"Pedras Altas (RS)";Município;431417;0,640
"Porto Grande (AP)";Município;160053;0,640
"Rio Branco do Ivaí (PR)";Município;412217;0,640
"Rondolândia (MT)";Município;510757;0,640
"Santa Maria do Suaçuí (MG)";Município;315820;0,640
"São Domingos (BA)";Município;292895;0,640
"São Gonçalo do Rio Preto (MG)";Município;312550;0,640
"São João do Manteninha (MG)";Município;316257;0,640
"São Romão (MG)";Município;316420;0,640
"Senador Guiomard (AC)";Município;120045;0,640
"Timbaúba dos Batistas (RN)";Município;241430;0,640
"Vitória de Santo Antão (PE)";Município;261640;0,640
"Água Branca (PI)";Município;220020;0,639
"Apodi (RN)";Município;240100;0,639
"Araguacema (TO)";Município;170190;0,639
"Capitão Enéas (MG)";Município;311270;0,639
"Caroebe (RR)";Município;140023;0,639
"Delta (MG)";Município;312125;0,639
"Desterro de Entre Rios (MG)";Município;312140;0,639
"Dois Irmãos do Buriti (MS)";Município;500348;0,639
"Luzinópolis (TO)";Município;171245;0,639
"Mariluz (PR)";Município;411510;0,639
"Nioaque (MS)";Município;500580;0,639
"Novo Acordo (TO)";Município;171510;0,639
"Palmital (PR)";Município;411780;0,639
"Paudalho (PE)";Município;261060;0,639
"Piedade de Ponte Nova (MG)";Município;315020;0,639
"Ribeirão Branco (SP)";Município;354300;0,639
"São Félix (BA)";Município;292900;0,639
"São Félix do Coribe (BA)";Município;292905;0,639
"São Francisco de Itabapoana (RJ)";Município;330475;0,639
"Tefé (AM)";Município;130420;0,639
"Uruburetama (CE)";Município;231380;0,639
"Alto Paraguai (MT)";Município;510050;0,638
"Bandeirantes do Tocantins (TO)";Município;170305;0,638
"Beberibe (CE)";Município;230220;0,638
"Bernardo Sayão (TO)";Município;170320;0,638
"Caraúbas (RN)";Município;240230;0,638
"Carbonita (MG)";Município;311350;0,638
"Corumbataí do Sul (PR)";Município;410655;0,638
"Goianinha (RN)";Município;240420;0,638
"Ibirapuitã (RS)";Município;430995;0,638
"Jaíba (MG)";Município;313505;0,638
"Ministro Andreazza (RO)";Município;110120;0,638
"Moeda (MG)";Município;314230;0,638
"Nossa Senhora do Livramento (MT)";Município;510610;0,638
"Palhano (CE)";Município;231000;0,638
"Palmeira dos Índios (AL)";Município;270630;0,638
"Rio Maria (PA)";Município;150616;0,638
"Sabinópolis (MG)";Município;315680;0,638
"São Domingos das Dores (MG)";Município;316095;0,638
"São Francisco (MG)";Município;316110;0,638
"São João Evangelista (MG)";Município;316280;0,638
"Simão Pereira (MG)";Município;316750;0,638
"Umburatiba (MG)";Município;317030;0,638
"Vicente Dutra (RS)";Município;432310;0,638
"Wanderlândia (TO)";Município;172208;0,638
"Apuí (AM)";Município;130014;0,637
"Bonfim (MG)";Município;310810;0,637
"Caculé (BA)";Município;290500;0,637
"Capão Bonito do Sul (RS)";Município;430462;0,637
"Capão do Leão (RS)";Município;430466;0,637
"Guaramiranga (CE)";Município;230510;0,637
"Guarani de Goiás (GO)";Município;520940;0,637
"Irupi (ES)";Município;320265;0,637
"Itanhém (BA)";Município;291600;0,637
"Itaperuçu (PR)";Município;411125;0,637
"Joaquim Felício (MG)";Município;313640;0,637
"Oratórios (MG)";Município;314585;0,637
"Paracuru (CE)";Município;231020;0,637
"Paula Cândido (MG)";Município;314830;0,637
"Pedro Teixeira (MG)";Município;314940;0,637
"Pinheiro (MA)";Município;210860;0,637
"Santa Bárbara do Tugúrio (MG)";Município;315730;0,637
"Santa Terezinha do Tocantins (TO)";Município;172000;0,637
"Santo Amaro das Brotas (SE)";Município;280660;0,637
"São Jerônimo da Serra (PR)";Município;412470;0,637
"Valente (BA)";Município;293300;0,637
"Almas (TO)";Município;170040;0,636
"Curionópolis (PA)";Município;150277;0,636
"Dores de Guanhães (MG)";Município;312310;0,636
"Espigão Alto do Iguaçu (PR)";Município;410754;0,636
"Felipe Guerra (RN)";Município;240370;0,636
"Ibotirama (BA)";Município;291320;0,636
"Nova Lacerda (MT)";Município;510618;0,636
"Olaria (MG)";Município;314540;0,636
"Orós (CE)";Município;230950;0,636
"Pindoretama (CE)";Município;231085;0,636
"Retirolândia (BA)";Município;292610;0,636
"São José do Cerrito (SC)";Município;421680;0,636
"Sardoá (MG)";Município;316550;0,636
"Tijucas do Sul (PR)";Município;412760;0,636
"Uiraúna (PB)";Município;251690;0,636
"Candói (PR)";Município;410442;0,635
"Cantagalo (PR)";Município;410445;0,635
"Chapada Gaúcha (MG)";Município;311615;0,635
"Itueta (MG)";Município;313410;0,635
"Martins Soares (MG)";Município;314053;0,635
"Oliveira Fortes (MG)";Município;314570;0,635
"Pacoti (CE)";Município;230980;0,635
"Piripiri (PI)";Município;220840;0,635
"Santa Cruz (RN)";Município;241120;0,635
"São José do Egito (PE)";Município;261360;0,635
"Seabra (BA)";Município;292990;0,635
"Surubim (PE)";Município;261450;0,635
"Terra Santa (PA)";Município;150797;0,635
"Tibau (RN)";Município;241105;0,635
"Caranaíba (MG)";Município;311310;0,634
"Carolina (MA)";Município;210280;0,634
"Conceição da Feira (BA)";Município;290820;0,634
"Conceição do Mato Dentro (MG)";Município;311750;0,634
"Entre Folhas (MG)";Município;312385;0,634
"Gramado Xavier (RS)";Município;430915;0,634
"Gravatá (PE)";Município;260640;0,634
"Itagimirim (BA)";Município;291530;0,634
"Itambacuri (MG)";Município;313270;0,634
"Itambé do Mato Dentro (MG)";Município;313280;0,634
"Lagoa dos Patos (MG)";Município;313730;0,634
"Mundo Novo (GO)";Município;521405;0,634
"Nova Roma (GO)";Município;521490;0,634
"Novo Horizonte do Oeste (RO)";Município;110050;0,634
"Oeiras (PI)";Município;220700;0,634
"Paraipaba (CE)";Município;231025;0,634
"Pombal (PB)";Município;251210;0,634
"Porto Firme (MG)";Município;315230;0,634
"Santa Maria do Tocantins (TO)";Município;171888;0,634
"Santa Rita do Novo Destino (GO)";Município;521945;0,634
"São João da Lagoa (MG)";Município;316225;0,634
"Serrinha (BA)";Município;293050;0,634
"Taguatinga (TO)";Município;172090;0,634
"Tuparetama (PE)";Município;261590;0,634
"Vargem Grande do Rio Pardo (MG)";Município;317065;0,634
"Vila Propício (GO)";Município;522230;0,634
"Alto Parnaíba (MA)";Município;210050;0,633
"Aral Moreira (MS)";Município;500124;0,633
"Bom Jesus da Lapa (BA)";Município;290390;0,633
"Caiana (MG)";Município;311010;0,633
"Farias Brito (CE)";Município;230430;0,633
"Groaíras (CE)";Município;230490;0,633
"Itapissuma (PE)";Município;260775;0,633
"Minas Novas (MG)";Município;314180;0,633
"Pindaré-Mirim (MA)";Município;210850;0,633
"Santana da Boa Vista (RS)";Município;431700;0,633
"Santo Antônio do Grama (MG)";Município;316010;0,633
"Serranópolis de Minas (MG)";Município;316695;0,633
"Tarumirim (MG)";Município;316840;0,633
"Tauá (CE)";Município;231330;0,633
"Urucânia (MG)";Município;317050;0,633
"Bocaina (PI)";Município;220180;0,632
"Córrego Novo (MG)";Município;312000;0,632
"Cruz (CE)";Município;230425;0,632
"Divino de São Lourenço (ES)";Município;320180;0,632
"Dom Macedo Costa (BA)";Município;291020;0,632
"Escada (PE)";Município;260520;0,632
"Gandu (BA)";Município;291120;0,632
"Independência (CE)";Município;230560;0,632
"José Gonçalves de Minas (MG)";Município;313652;0,632
"Lajedão (BA)";Município;291890;0,632
"Mato Rico (PR)";Município;411573;0,632
"Miranda (MS)";Município;500560;0,632
"Presidente Bernardes (MG)";Município;315310;0,632
"Riachinho (MG)";Município;315445;0,632
"Rodelas (BA)";Município;292710;0,632
"Rosário (MA)";Município;210960;0,632
"Santo Antônio do Tauá (PA)";Município;150700;0,632
"São Sebastião do Rio Preto (MG)";Município;316480;0,632
"Silves (AM)";Município;130400;0,632
"Simonésia (MG)";Município;316760;0,632
"Veredinha (MG)";Município;317107;0,632
"Araguatins (TO)";Município;170220;0,631
"Campinaçu (GO)";Município;520465;0,631
"Cantagalo (MG)";Município;311205;0,631
"Desterro do Melo (MG)";Município;312150;0,631
"Ichu (BA)";Município;291330;0,631
"Jari (RS)";Município;431113;0,631
"Marianópolis do Tocantins (TO)";Município;171250;0,631
"Matipó (MG)";Município;314090;0,631
"Nova Olinda (TO)";Município;171488;0,631
"Pendências (RN)";Município;240990;0,631
"Redentora (RS)";Município;431540;0,631
"Rosário do Catete (SE)";Município;280610;0,631
"Senhora de Oliveira (MG)";Município;316600;0,631
"Sinimbu (RS)";Município;432067;0,631
"Sobradinho (BA)";Município;293077;0,631
"Sobrália (MG)";Município;316770;0,631
"Uruçuí (PI)";Município;221120;0,631
"Vargem Alegre (MG)";Município;317057;0,631
"Acaiaca (MG)";Município;310040;0,630
"Angical do Piauí (PI)";Município;220060;0,630
"Barra do Mendes (BA)";Município;290300;0,630
"Bonópolis (GO)";Município;520357;0,630
"Campina do Simão (PR)";Município;410395;0,630
"Campos Sales (CE)";Município;230270;0,630
"Ipiranga do Piauí (PI)";Município;220480;0,630
"Itinga do Maranhão (MA)";Município;210542;0,630
"Jangada (MT)";Município;510490;0,630
"Nova Módica (MG)";Município;314490;0,630
"Penedo (AL)";Município;270670;0,630
"Ramilândia (PR)";Município;412125;0,630
"Santa Rita de Ibitipoca (MG)";Município;315940;0,630
"São Geraldo do Baixio (MG)";Município;316165;0,630
"Bacabeira (MA)";Município;210125;0,629
"Belo Jardim (PE)";Município;260170;0,629
"Bodó (RN)";Município;240165;0,629
"Cândido de Abreu (PR)";Município;410440;0,629
"Dores do Turvo (MG)";Município;312330;0,629
"Encanto (RN)";Município;240330;0,629
"Governador Edison Lobão (MA)";Município;210455;0,629
"Itaobim (MG)";Município;313330;0,629
"Lassance (MG)";Município;313810;0,629
"Nova Cruz (RN)";Município;240830;0,629
"Pentecoste (CE)";Município;231070;0,629
"Piau (MG)";Município;315010;0,629
"Reduto (MG)";Município;315415;0,629
"Rio Bonito do Iguaçu (PR)";Município;412215;0,629
"São João do Triunfo (PR)";Município;412510;0,629
"Turuçu (RS)";Município;432232;0,629
"Vargem (SC)";Município;421915;0,629
"Várzea Alegre (CE)";Município;231400;0,629
"Abaetetuba (PA)";Município;150010;0,628
"Abaiara (CE)";Município;230010;0,628
"Acorizal (MT)";Município;510010;0,628
